Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
CUST-00055,297,9,531834.02,2,4,5,11,Loyal Customers
CUST-00056,6,9,272867.04,5,4,4,13,Champions
CUST-00057,774,2,15600.16,1,1,1,3,Lost / Hibernating
CUST-00058,106,5,218183.46000000002,3,3,4,10,Loyal Customers
CUST-00059,23,5,613348.68,5,3,5,13,Champions
CUST-00060,54,6,130318.31999999999,4,3,3,10,Loyal Customers
CUST-00061,305,3,126839.1,2,2,3,7,Potential Loyalists
CUST-00062,305,4,159947.13999999998,2,2,3,7,Potential Loyalists
CUST-00063,245,3,146770.15,2,2,3,7,Potential Loyalists
CUST-00064,86,10,155700.34,3,5,3,11,Loyal Customers
CUST-00065,3,31,1040565.9299999999,5,5,5,15,Champions
CUST-00066,62,5,273589.24,4,3,4,11,Loyal Customers
CUST-00067,372,2,22037.72,2,1,1,4,Lost / Hibernating
CUST-00068,87,2,10761.36,3,1,1,5,At Risk
CUST-00069,25,2,28209.79,5,1,1,7,Potential Loyalists
CUST-00070,210,4,34071.909999999996,2,2,1,5,At Risk
CUST-00071,184,2,12661.079999999998,3,1,1,5,At Risk
CUST-00072,55,1,174586.25,4,1,3,8,Potential Loyalists
CUST-00073,79,3,36992.31,4,2,1,7,Potential Loyalists
CUST-00074,147,6,231845.27,3,3,4,10,Loyal Customers
CUST-00075,917,1,708.4,1,1,1,3,Lost / Hibernating
CUST-00077,38,2,45589.3,4,1,2,7,Potential Loyalists
CUST-00078,67,7,533018.1799999999,4,4,5,13,Champions
CUST-00079,199,7,175397.12,2,4,3,9,Potential Loyalists
CUST-00080,816,1,45524.14,1,1,2,4,Lost / Hibernating
CUST-00081,20,36,1063510.95,5,5,5,15,Champions
CUST-00082,18,5,150015.09,5,3,3,11,Loyal Customers
CUST-00083,48,19,643998.48,4,5,5,14,Champions
CUST-00084,155,10,252672.49,3,5,4,12,Loyal Customers
CUST-00085,99,6,126094.02,3,3,3,9,Potential Loyalists
CUST-00086,158,4,105608.01000000001,3,2,3,8,Potential Loyalists
CUST-00087,302,1,170891.78,2,1,3,6,At Risk
CUST-00088,668,5,183573.69,1,3,3,7,Potential Loyalists
CUST-00089,76,2,1841.2399999999998,4,1,1,6,At Risk
CUST-00090,412,4,32993.87,1,2,1,4,Lost / Hibernating
CUST-00091,20,13,75134.43000000001,5,5,2,12,Loyal Customers
CUST-00092,15,5,179344.11000000002,5,3,3,11,Loyal Customers
CUST-00093,404,4,180391.69,1,2,3,6,At Risk
CUST-00094,53,8,103310.11,4,4,2,10,Loyal Customers
CUST-00095,20,4,242012.84999999998,5,2,4,11,Loyal Customers
CUST-00096,361,1,18301.84,2,1,1,4,Lost / Hibernating
CUST-00097,50,2,63696.51,4,1,2,7,Potential Loyalists
CUST-00098,463,1,5994.09,1,1,1,3,Lost / Hibernating
CUST-00099,226,5,14798.16,2,3,1,6,At Risk
CUST-00100,52,9,179267.74,4,4,3,11,Loyal Customers
CUST-00101,174,4,62257.54,3,2,2,7,Potential Loyalists
CUST-00102,14,8,852324.47,5,4,5,14,Champions
CUST-00103,730,3,216133.27,1,2,4,7,Potential Loyalists
CUST-00104,2,3,94914.93,5,2,2,9,Potential Loyalists
CUST-00105,19,20,421051.68,5,5,5,15,Champions
CUST-00106,10,6,234071.81,5,3,4,12,Loyal Customers
CUST-00107,242,6,120572.07,2,3,3,8,Potential Loyalists
CUST-00108,415,2,123598.04,1,1,3,5,At Risk
CUST-00109,309,6,196604.35,2,3,4,9,Potential Loyalists
CUST-00110,161,5,114192.52,3,3,3,9,Potential Loyalists
CUST-00111,73,25,812314.87,4,5,5,14,Champions
CUST-00112,41,26,1309107.84,4,5,5,14,Champions
CUST-00113,541,1,233042.36,1,1,4,6,At Risk
CUST-00114,10,26,588167.01,5,5,5,15,Champions
CUST-00115,48,24,444444.65,4,5,5,14,Champions
CUST-00116,40,19,594942.33,4,5,5,14,Champions
CUST-00117,260,6,126520.20000000001,2,3,3,8,Potential Loyalists
CUST-00118,412,5,7430.01,1,3,1,5,At Risk
CUST-00119,36,25,798979.72,5,5,5,15,Champions
CUST-00120,50,7,443540.82999999996,4,4,5,13,Champions
CUST-00121,182,9,216591.76,3,4,4,11,Loyal Customers
CUST-00122,72,15,638260.3,4,5,5,14,Champions
CUST-00123,9,13,533750.93,5,5,5,15,Champions
CUST-00124,64,3,124063.15999999999,4,2,3,9,Potential Loyalists
CUST-00125,161,3,37019.07,3,2,1,6,At Risk
CUST-00126,402,3,92146.27,1,2,2,5,At Risk
CUST-00127,370,11,483445.46,2,5,5,12,Loyal Customers
CUST-00128,203,8,359956.9,2,4,4,10,Loyal Customers
CUST-00129,23,3,19383.65,5,2,1,8,Potential Loyalists
CUST-00130,289,5,139706.01,2,3,3,8,Potential Loyalists
CUST-00131,115,6,145113.77000000002,3,3,3,9,Potential Loyalists
CUST-00132,869,2,74145.99,1,1,2,4,Lost / Hibernating
CUST-00133,429,6,358420.81,1,3,4,8,Potential Loyalists
CUST-00134,401,1,508.3,1,1,1,3,Lost / Hibernating
CUST-00136,20,7,134533.87,5,4,3,12,Loyal Customers
CUST-00137,373,4,48558.44,2,2,2,6,At Risk
CUST-00138,260,1,16279.01,2,1,1,4,Lost / Hibernating
CUST-00139,404,5,121063.92,1,3,3,7,Potential Loyalists
CUST-00140,444,2,4711.6,1,1,1,3,Lost / Hibernating
CUST-00142,91,5,331946.06,3,3,4,10,Loyal Customers
CUST-00143,575,2,61152.69,1,1,2,4,Lost / Hibernating
CUST-00144,355,4,200052.52000000002,2,2,4,8,Potential Loyalists
CUST-00145,8,6,151744.67,5,3,3,11,Loyal Customers
CUST-00146,40,22,566923.31,4,5,5,14,Champions
CUST-00147,345,2,223488.93999999997,2,1,4,7,Potential Loyalists
CUST-00148,571,3,33881.07,1,2,1,4,Lost / Hibernating
CUST-00149,644,3,16792.87,1,2,1,4,Lost / Hibernating
CUST-00150,21,6,106680.14,5,3,3,11,Loyal Customers
CUST-00151,67,26,1045420.67,4,5,5,14,Champions
CUST-00152,86,3,19282.629999999997,3,2,1,6,At Risk
CUST-00153,323,3,22739.14,2,2,1,5,At Risk
CUST-00154,645,5,76637.44,1,3,2,6,At Risk
CUST-00156,66,6,123393.09,4,3,3,10,Loyal Customers
CUST-00157,295,2,89826.09000000001,2,1,2,5,At Risk
CUST-00158,366,2,15069.64,2,1,1,4,Lost / Hibernating
CUST-00159,425,4,296888.52999999997,1,2,4,7,Potential Loyalists
CUST-00160,567,4,289292.51,1,2,4,7,Potential Loyalists
CUST-00161,427,8,454803.62,1,4,5,10,Loyal Customers
CUST-00162,34,3,43229.07,5,2,2,9,Potential Loyalists
CUST-00163,531,2,18288.15,1,1,1,3,Lost / Hibernating
CUST-00164,66,12,449196.37,4,5,5,14,Champions
CUST-00165,876,1,263500.96,1,1,4,6,At Risk
CUST-00166,33,9,398333.68,5,4,5,14,Champions
CUST-00167,23,35,1299674.81,5,5,5,15,Champions
CUST-00168,426,3,35700.96,1,2,1,4,Lost / Hibernating
CUST-00169,77,7,31669.39,4,4,1,9,Potential Loyalists
CUST-00170,708,2,135189.0,1,1,3,5,At Risk
CUST-00171,13,21,503473.97000000003,5,5,5,15,Champions
CUST-00172,226,8,394183.94,2,4,5,11,Loyal Customers
CUST-00173,32,5,614792.45,5,3,5,13,Champions
CUST-00174,419,2,84877.94,1,1,2,4,Lost / Hibernating
CUST-00175,261,3,4299.110000000001,2,2,1,5,At Risk
CUST-00176,8,6,81962.7,5,3,2,10,Loyal Customers
CUST-00177,572,3,157633.65,1,2,3,6,At Risk
CUST-00178,291,5,179873.23,2,3,3,8,Potential Loyalists
CUST-00179,99,3,169007.78,3,2,3,8,Potential Loyalists
CUST-00180,4,8,558732.83,5,4,5,14,Champions
CUST-00181,517,2,210303.48,1,1,4,6,At Risk
CUST-00182,56,8,401302.92,4,4,5,13,Champions
CUST-00183,14,6,494449.79,5,3,5,13,Champions
CUST-00184,592,2,38555.62,1,1,1,3,Lost / Hibernating
CUST-00185,190,2,10428.46,3,1,1,5,At Risk
CUST-00186,90,8,109874.87,3,4,3,10,Loyal Customers
CUST-00187,224,2,98871.09,2,1,2,5,At Risk
CUST-00188,67,15,360715.71,4,5,4,13,Champions
CUST-00189,4,28,857519.36,5,5,5,15,Champions
CUST-00190,1071,1,3369.22,1,1,1,3,Lost / Hibernating
CUST-00191,285,6,480557.47,2,3,5,10,Loyal Customers
CUST-00192,19,3,112157.14,5,2,3,10,Loyal Customers
CUST-00193,11,12,632230.97,5,5,5,15,Champions
CUST-00194,66,8,185054.33000000002,4,4,3,11,Loyal Customers
CUST-00195,329,3,11475.97,2,2,1,5,At Risk
CUST-00196,203,1,68945.09,2,1,2,5,At Risk
CUST-00197,130,10,124487.3,3,5,3,11,Loyal Customers
CUST-00198,426,3,52970.520000000004,1,2,2,5,At Risk
CUST-00199,392,3,83298.45,1,2,2,5,At Risk
CUST-00202,169,8,145695.32,3,4,3,10,Loyal Customers
CUST-00203,36,2,57363.48,5,1,2,8,Potential Loyalists
CUST-00204,31,22,1979109.17,5,5,5,15,Champions
CUST-00205,67,13,438481.94,4,5,5,14,Champions
CUST-00206,22,26,849943.21,5,5,5,15,Champions
CUST-00207,62,6,66867.41,4,4,2,10,Loyal Customers
CUST-00208,107,2,39313.36,3,1,1,5,At Risk
CUST-00209,433,1,4986.58,1,1,1,3,Lost / Hibernating
CUST-00210,173,2,2659.96,3,1,1,5,At Risk
CUST-00212,159,3,14671.25,3,2,1,6,At Risk
CUST-00213,42,3,476995.19,4,2,5,11,Loyal Customers
CUST-00214,84,3,98420.09,3,2,2,7,Potential Loyalists
CUST-00215,285,3,13616.960000000001,2,2,1,5,At Risk
CUST-00216,227,4,300031.63,2,2,4,8,Potential Loyalists
CUST-00217,557,3,88323.83,1,2,2,5,At Risk
CUST-00218,256,7,59033.96,2,4,2,8,Potential Loyalists
CUST-00219,58,9,94394.20999999999,4,4,2,10,Loyal Customers
CUST-00220,443,7,213752.58000000002,1,4,4,9,Potential Loyalists
CUST-00221,281,5,58248.32,2,3,2,7,Potential Loyalists
CUST-00222,445,6,271884.03,1,4,4,9,Potential Loyalists
CUST-00223,60,7,332778.51,4,4,4,12,Loyal Customers
CUST-00224,71,4,214155.88,4,2,4,10,Loyal Customers
CUST-00225,294,4,322600.47,2,2,4,8,Potential Loyalists
CUST-00226,297,2,57845.89,2,1,2,5,At Risk
CUST-00227,146,4,90718.16,3,2,2,7,Potential Loyalists
CUST-00228,233,5,44665.99,2,3,2,7,Potential Loyalists
CUST-00229,342,9,553300.51,2,4,5,11,Loyal Customers
CUST-00230,30,11,967767.62,5,5,5,15,Champions
CUST-00231,108,16,444014.64,3,5,5,13,Champions
CUST-00232,45,6,163310.12,4,4,3,11,Loyal Customers
CUST-00233,13,17,581647.21,5,5,5,15,Champions
CUST-00234,463,1,721.6,1,1,1,3,Lost / Hibernating
CUST-00235,9,36,949625.66,5,5,5,15,Champions
CUST-00236,61,12,145062.71,4,5,3,12,Loyal Customers
CUST-00237,60,3,239759.73,4,2,4,10,Loyal Customers
CUST-00238,22,4,10378.369999999999,5,2,1,8,Potential Loyalists
CUST-00239,33,12,235008.81,5,5,4,14,Champions
CUST-00240,54,19,384042.37,4,5,5,14,Champions
CUST-00241,428,1,55295.04,1,1,2,4,Lost / Hibernating
CUST-00242,21,3,55504.86,5,2,2,9,Potential Loyalists
CUST-00243,22,4,519992.83,5,2,5,12,Loyal Customers
CUST-00244,21,13,549183.83,5,5,5,15,Champions
CUST-00245,76,3,104995.2,4,2,3,9,Potential Loyalists
CUST-00246,235,8,40855.48,2,4,2,8,Potential Loyalists
CUST-00247,42,2,1167.5,4,1,1,6,At Risk
CUST-00248,148,9,279256.49,3,4,4,11,Loyal Customers
CUST-00249,20,11,481217.24,5,5,5,15,Champions
CUST-00250,20,5,299343.66,5,3,4,12,Loyal Customers
CUST-00251,280,4,150458.22,2,2,3,7,Potential Loyalists
CUST-00252,71,4,112805.42000000001,4,2,3,9,Potential Loyalists
CUST-00253,626,3,122110.78,1,2,3,6,At Risk
CUST-00254,113,6,142738.12,3,4,3,10,Loyal Customers
CUST-00255,167,4,135354.41999999998,3,2,3,8,Potential Loyalists
CUST-00256,225,5,21506.19,2,3,1,6,At Risk
CUST-00257,121,12,473382.7,3,5,5,13,Champions
CUST-00258,23,16,412561.54,5,5,5,15,Champions
CUST-00259,183,3,44569.17,3,2,2,7,Potential Loyalists
CUST-00260,202,28,774157.41,2,5,5,12,Loyal Customers
CUST-00261,320,5,30515.07,2,3,1,6,At Risk
CUST-00262,752,2,6012.79,1,1,1,3,Lost / Hibernating
CUST-00263,233,1,116347.23,2,1,3,6,At Risk
CUST-00264,326,2,2943.71,2,1,1,4,Lost / Hibernating
CUST-00265,53,9,551071.1699999999,4,4,5,13,Champions
CUST-00266,67,2,222552.65,4,1,4,9,Potential Loyalists
CUST-00267,387,4,68856.37,1,2,2,5,At Risk
CUST-00268,45,2,51865.04,4,1,2,7,Potential Loyalists
CUST-00269,21,6,48144.4,5,4,2,11,Loyal Customers
CUST-00270,430,4,63045.7,1,2,2,5,At Risk
CUST-00271,90,6,126773.46999999999,3,4,3,10,Loyal Customers
CUST-00272,68,11,142357.15,4,5,3,12,Loyal Customers
CUST-00273,69,9,198305.43,4,4,4,12,Loyal Customers
CUST-00274,76,22,919732.53,4,5,5,14,Champions
CUST-00275,336,6,185192.91,2,4,3,9,Potential Loyalists
CUST-00276,207,6,82568.42,2,4,2,8,Potential Loyalists
CUST-00277,479,6,172868.53,1,4,3,8,Potential Loyalists
CUST-00278,102,4,39574.09,3,2,2,7,Potential Loyalists
CUST-00279,359,4,152260.11,2,2,3,7,Potential Loyalists
CUST-00280,16,6,67988.26000000001,5,4,2,11,Loyal Customers
CUST-00281,204,4,35921.87,2,2,1,5,At Risk
CUST-00282,64,8,297722.98,4,4,4,12,Loyal Customers
CUST-00283,326,2,94050.83,2,1,2,5,At Risk
CUST-00284,202,5,167942.66999999998,2,3,3,8,Potential Loyalists
CUST-00285,52,1,32649.9,4,1,1,6,At Risk
CUST-00286,153,2,56166.83,3,1,2,6,At Risk
CUST-00287,77,3,81635.96,4,2,2,8,Potential Loyalists
CUST-00288,452,5,99524.6,1,3,2,6,At Risk
CUST-00289,392,5,165384.08000000002,1,3,3,7,Potential Loyalists
CUST-00290,542,1,2408.56,1,1,1,3,Lost / Hibernating
CUST-00291,264,10,169834.62,2,5,3,10,Loyal Customers
CUST-00292,123,4,473820.69999999995,3,2,5,10,Loyal Customers
CUST-00293,3,3,28348.370000000003,5,2,1,8,Potential Loyalists
CUST-00294,87,2,229211.26,3,1,4,8,Potential Loyalists
CUST-00295,13,4,57955.08,5,2,2,9,Potential Loyalists
CUST-00296,68,27,2104403.55,4,5,5,14,Champions
CUST-00297,169,5,335040.31,3,3,4,10,Loyal Customers
CUST-00298,284,3,58039.340000000004,2,2,2,6,At Risk
CUST-00299,82,7,41317.130000000005,4,4,2,10,Loyal Customers
CUST-00300,381,2,209789.41,1,1,4,6,At Risk
CUST-00301,747,2,109079.11,1,1,3,5,At Risk
CUST-00302,32,33,1410853.03,5,5,5,15,Champions
CUST-00303,5,40,1150682.3,5,5,5,15,Champions
CUST-00304,147,8,228595.53,3,4,4,11,Loyal Customers
CUST-00305,191,5,172681.92,2,3,3,8,Potential Loyalists
CUST-00306,572,1,16623.61,1,1,1,3,Lost / Hibernating
CUST-00307,563,4,245125.4,1,2,4,7,Potential Loyalists
CUST-00308,43,4,86438.97,4,2,2,8,Potential Loyalists
CUST-00309,381,1,536.92,1,1,1,3,Lost / Hibernating
CUST-00311,585,2,163540.78,1,1,3,5,At Risk
CUST-00312,94,4,112800.01999999999,3,2,3,8,Potential Loyalists
CUST-00313,211,3,76290.09,2,2,2,6,At Risk
CUST-00314,273,2,2502.33,2,1,1,4,Lost / Hibernating
CUST-00315,22,3,101721.76999999999,5,2,2,9,Potential Loyalists
CUST-00316,449,5,96102.98,1,3,2,6,At Risk
CUST-00317,269,6,144378.37,2,4,3,9,Potential Loyalists
CUST-00318,132,8,264721.47,3,4,4,11,Loyal Customers
CUST-00319,105,2,414772.39,3,1,5,9,Potential Loyalists
CUST-00320,50,3,17040.52,4,2,1,7,Potential Loyalists
CUST-00321,114,10,422743.33,3,5,5,13,Champions
CUST-00322,3,29,1171318.04,5,5,5,15,Champions
CUST-00323,19,20,426995.2,5,5,5,15,Champions
CUST-00324,327,2,14849.41,2,1,1,4,Lost / Hibernating
CUST-00325,245,8,160064.25,2,4,3,9,Potential Loyalists
CUST-00326,8,7,82098.14,5,4,2,11,Loyal Customers
CUST-00327,299,5,481799.31,2,3,5,10,Loyal Customers
CUST-00328,507,2,101063.13,1,1,2,4,Lost / Hibernating
CUST-00329,82,5,227142.56,4,3,4,11,Loyal Customers
CUST-00330,41,3,285541.43,4,2,4,10,Loyal Customers
CUST-00331,501,2,24780.68,1,1,1,3,Lost / Hibernating
CUST-00332,36,8,216831.29,5,4,4,13,Champions
CUST-00333,521,3,103605.40000000001,1,2,3,6,At Risk
CUST-00334,711,3,385855.58999999997,1,2,5,8,Potential Loyalists
CUST-00335,137,4,288575.97,3,2,4,9,Potential Loyalists
CUST-00336,81,14,691003.88,4,5,5,14,Champions
CUST-00337,253,11,176826.1,2,5,3,10,Loyal Customers
CUST-00338,173,5,188457.81,3,3,3,9,Potential Loyalists
CUST-00339,202,1,23297.4,2,1,1,4,Lost / Hibernating
CUST-00340,85,6,190554.43,3,4,3,10,Loyal Customers
CUST-00341,35,17,408132.03,5,5,5,15,Champions
CUST-00342,105,5,25451.71,3,3,1,7,Potential Loyalists
CUST-00343,130,2,164771.88999999998,3,1,3,7,Potential Loyalists
CUST-00344,287,4,38299.73,2,2,1,5,At Risk
CUST-00345,188,10,166776.53,3,5,3,11,Loyal Customers
CUST-00346,481,6,302417.04,1,4,4,9,Potential Loyalists
CUST-00347,46,2,40228.99,4,1,2,7,Potential Loyalists
CUST-00348,62,6,80020.72,4,4,2,10,Loyal Customers
CUST-00349,1005,1,84157.98,1,1,2,4,Lost / Hibernating
CUST-00350,815,3,327738.3,1,2,4,7,Potential Loyalists
CUST-00351,101,9,55383.340000000004,3,4,2,9,Potential Loyalists
CUST-00352,31,6,259579.43,5,4,4,13,Champions
CUST-00353,37,9,507178.37,4,4,5,13,Champions
CUST-00354,278,3,98936.82999999999,2,2,2,6,At Risk
CUST-00355,38,4,363518.4,4,2,4,10,Loyal Customers
CUST-00356,51,29,1066525.75,4,5,5,14,Champions
CUST-00358,236,4,75703.62,2,2,2,6,At Risk
CUST-00359,155,6,227620.71,3,4,4,11,Loyal Customers
CUST-00360,77,22,512331.94,4,5,5,14,Champions
CUST-00361,34,9,668171.7,5,4,5,14,Champions
CUST-00362,700,3,211819.87,1,2,4,7,Potential Loyalists
CUST-00363,30,24,753296.53,5,5,5,15,Champions
CUST-00364,2,32,1286627.95,5,5,5,15,Champions
CUST-00365,13,25,876710.04,5,5,5,15,Champions
CUST-00366,174,11,182853.25,3,5,3,11,Loyal Customers
CUST-00367,36,7,75669.75,5,4,2,11,Loyal Customers
CUST-00368,586,2,28088.3,1,1,1,3,Lost / Hibernating
CUST-00369,187,8,359019.25,3,4,4,11,Loyal Customers
CUST-00370,97,1,2006.3,3,1,1,5,At Risk
CUST-00371,39,3,19672.43,4,2,1,7,Potential Loyalists
CUST-00372,55,12,1297475.92,4,5,5,14,Champions
CUST-00373,2,6,149211.01,5,4,3,12,Loyal Customers
CUST-00374,14,2,39388.28,5,1,2,8,Potential Loyalists
CUST-00375,97,4,36566.03,3,2,1,6,At Risk
CUST-00376,860,1,3717.58,1,1,1,3,Lost / Hibernating
CUST-00377,107,12,788104.52,3,5,5,13,Champions
CUST-00378,11,4,116915.28,5,2,3,10,Loyal Customers
CUST-00379,115,3,182843.49,3,2,3,8,Potential Loyalists
CUST-00380,304,4,77324.0,2,2,2,6,At Risk
CUST-00381,489,3,217599.14,1,2,4,7,Potential Loyalists
CUST-00382,12,25,1194476.06,5,5,5,15,Champions
CUST-00383,455,3,101727.82,1,2,2,5,At Risk
CUST-00384,372,8,360118.85,2,4,4,10,Loyal Customers
CUST-00386,189,3,89455.09,3,2,2,7,Potential Loyalists
CUST-00387,106,13,195528.27000000002,3,5,4,12,Loyal Customers
CUST-00388,235,7,396402.73,2,4,5,11,Loyal Customers
CUST-00389,127,5,184386.92,3,3,3,9,Potential Loyalists
CUST-00390,415,3,223292.6,1,2,4,7,Potential Loyalists
CUST-00391,117,2,51793.69,3,1,2,6,At Risk
CUST-00392,415,2,106971.14,1,1,3,5,At Risk
CUST-00393,12,10,182243.82,5,5,3,13,Champions
CUST-00394,349,1,5340.36,2,1,1,4,Lost / Hibernating
CUST-00395,650,3,16872.57,1,2,1,4,Lost / Hibernating
CUST-00396,371,4,129789.19,2,2,3,7,Potential Loyalists
CUST-00397,54,5,230046.27000000002,4,3,4,11,Loyal Customers
CUST-00398,411,2,114111.15000000001,1,1,3,5,At Risk
CUST-00399,74,7,100429.18000000001,4,4,2,10,Loyal Customers
CUST-00400,72,3,90890.34,4,2,2,8,Potential Loyalists
CUST-00401,401,2,6480.47,1,1,1,3,Lost / Hibernating
CUST-00402,346,13,770559.75,2,5,5,12,Loyal Customers
CUST-00403,199,6,327469.46,2,4,4,10,Loyal Customers
CUST-00404,522,2,26410.12,1,1,1,3,Lost / Hibernating
CUST-00405,31,4,164518.28,5,2,3,10,Loyal Customers
CUST-00406,127,5,270092.34,3,3,4,10,Loyal Customers
CUST-00407,124,6,113499.34,3,4,3,10,Loyal Customers
CUST-00408,77,11,445421.45999999996,4,5,5,14,Champions
CUST-00409,73,3,205414.19999999998,4,2,4,10,Loyal Customers
CUST-00410,346,2,20973.77,2,1,1,4,Lost / Hibernating
CUST-00411,75,5,713865.23,4,3,5,12,Loyal Customers
CUST-00413,66,1,3246.95,4,1,1,6,At Risk
CUST-00414,39,23,512524.75999999995,4,5,5,14,Champions
CUST-00415,342,4,152688.28999999998,2,2,3,7,Potential Loyalists
CUST-00416,356,1,56916.96,2,1,2,5,At Risk
CUST-00417,68,5,109381.92,4,3,3,10,Loyal Customers
CUST-00418,30,5,158691.37,5,3,3,11,Loyal Customers
CUST-00419,707,4,277217.67,1,2,4,7,Potential Loyalists
CUST-00420,259,3,37119.23,2,2,1,5,At Risk
CUST-00421,6,27,1025661.42,5,5,5,15,Champions
CUST-00422,811,3,121503.87,1,2,3,6,At Risk
CUST-00423,437,8,157928.78,1,4,3,8,Potential Loyalists
CUST-00424,19,7,86650.90000000001,5,4,2,11,Loyal Customers
CUST-00425,233,1,29601.2,2,1,1,4,Lost / Hibernating
CUST-00426,39,9,637544.13,4,4,5,13,Champions
CUST-00427,217,2,207012.80000000002,2,1,4,7,Potential Loyalists
CUST-00428,94,3,194224.05000000002,3,2,3,8,Potential Loyalists
CUST-00429,37,8,96509.43,4,4,2,10,Loyal Customers
CUST-00430,156,3,118801.41,3,2,3,8,Potential Loyalists
CUST-00431,125,3,162857.5,3,2,3,8,Potential Loyalists
CUST-00432,2,3,190676.16999999998,5,2,3,10,Loyal Customers
CUST-00433,48,3,88357.81,4,2,2,8,Potential Loyalists
CUST-00434,314,6,240230.74999999997,2,4,4,10,Loyal Customers
CUST-00435,615,3,176014.3,1,2,3,6,At Risk
CUST-00436,509,4,66336.47,1,2,2,5,At Risk
CUST-00437,13,6,303260.60000000003,5,4,4,13,Champions
CUST-00438,293,2,2425.48,2,1,1,4,Lost / Hibernating
CUST-00439,111,11,218676.81,3,5,4,12,Loyal Customers
CUST-00440,153,8,415477.04000000004,3,4,5,12,Loyal Customers
CUST-00441,212,5,356206.04,2,3,4,9,Potential Loyalists
CUST-00442,301,4,54601.579999999994,2,2,2,6,At Risk
CUST-00443,34,4,93337.72,5,2,2,9,Potential Loyalists
CUST-00444,843,1,21700.28,1,1,1,3,Lost / Hibernating
CUST-00445,428,2,65067.71000000001,1,1,2,4,Lost / Hibernating
CUST-00446,903,2,6836.93,1,1,1,3,Lost / Hibernating
CUST-00447,33,11,128373.57,5,5,3,13,Champions
